"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";2020;"cropland";0
"-29p25.-20p75.BRA";2020;"cropland";0
"-32p25.-3p75.BRA";2020;"cropland";0
"-34p75.-7p25.BRA";2020;"cropland";18569.2027712631
"-34p75.-7p75.BRA";2020;"cropland";16321.760088692
"-34p75.-8p25.BRA";2020;"cropland";5017.84904394119
"-35p25.-5p25.BRA";2020;"cropland";9100.82759234159
"-35p25.-5p75.BRA";2020;"cropland";15201.9245847153
"-35p25.-6p25.BRA";2020;"cropland";69419.0013432369
"-35p25.-6p75.BRA";2020;"cropland";66285.3666291279
"-35p25.-7p25.BRA";2020;"cropland";79790.7873562558
"-35p25.-7p75.BRA";2020;"cropland";86056.4517509172
"-35p25.-8p25.BRA";2020;"cropland";93199.6992633464
"-35p25.-8p75.BRA";2020;"cropland";70627.9153937423
"-35p25.-9p25.BRA";2020;"cropland";17403.9918535918
"-35p75.-5p25.BRA";2020;"cropland";20112.8859938883
"-35p75.-5p75.BRA";2020;"cropland";16706.4146759796
"-35p75.-6p25.BRA";2020;"cropland";26395.7853402336
"-35p75.-6p75.BRA";2020;"cropland";41862.8334410954
"-35p75.-7p25.BRA";2020;"cropland";41249.5934603213
"-35p75.-7p75.BRA";2020;"cropland";31666.6566135664
"-35p75.-8p25.BRA";2020;"cropland";15282.1908636254
"-35p75.-8p75.BRA";2020;"cropland";27461.0917210492
"-35p75.-9p25.BRA";2020;"cropland";68571.0603133659
"-35p75.-9p75.BRA";2020;"cropland";30433.5439035861
"-36p25.-10p25.BRA";2020;"cropland";63216.3209018539
"-36p25.-5p25.BRA";2020;"cropland";6768.15427362906
"-36p25.-5p75.BRA";2020;"cropland";10131.7494322039
"-36p25.-6p25.BRA";2020;"cropland";16061.3490809542
"-36p25.-6p75.BRA";2020;"cropland";14710.9515127673
"-36p25.-7p25.BRA";2020;"cropland";5998.40436693178
"-36p25.-7p75.BRA";2020;"cropland";6338.10589938498
"-36p25.-8p25.BRA";2020;"cropland";7836.15452510697
"-36p25.-8p75.BRA";2020;"cropland";51270.9852323803
"-36p25.-9p25.BRA";2020;"cropland";34792.1330639541
"-36p25.-9p75.BRA";2020;"cropland";120951.071325294
"-36p75.-10p25.BRA";2020;"cropland";38607.7848037846
"-36p75.-10p75.BRA";2020;"cropland";16589.0706987721
"-36p75.-5p25.BRA";2020;"cropland";21765.2249326539
"-36p75.-5p75.BRA";2020;"cropland";5607.31762205859
"-36p75.-6p25.BRA";2020;"cropland";10088.9906523573
"-36p75.-6p75.BRA";2020;"cropland";4774.366601729
"-36p75.-7p25.BRA";2020;"cropland";9749.13428691453
"-36p75.-7p75.BRA";2020;"cropland";6299.26338926953
"-36p75.-8p25.BRA";2020;"cropland";6113.13102445659
"-36p75.-8p75.BRA";2020;"cropland";18613.5495481016
"-36p75.-9p25.BRA";2020;"cropland";14917.4147733356
"-36p75.-9p75.BRA";2020;"cropland";30805.3002284932
"-37p25.-10p25.BRA";2020;"cropland";30135.0212856561
"-37p25.-10p75.BRA";2020;"cropland";32924.0870706787
"-37p25.-11p25.BRA";2020;"cropland";11644.6946030196
"-37p25.-4p75.BRA";2020;"cropland";16464.6481710502
"-37p25.-5p25.BRA";2020;"cropland";39196.292856918
"-37p25.-5p75.BRA";2020;"cropland";4853.35883141526
"-37p25.-6p25.BRA";2020;"cropland";2082.38035341201
"-37p25.-6p75.BRA";2020;"cropland";4123.1174510693
"-37p25.-7p25.BRA";2020;"cropland";22449.7217549647
"-37p25.-7p75.BRA";2020;"cropland";22041.3537925846
"-37p25.-8p25.BRA";2020;"cropland";5227.56120568456
"-37p25.-8p75.BRA";2020;"cropland";11032.9943072545
"-37p25.-9p25.BRA";2020;"cropland";15273.997067947
"-37p25.-9p75.BRA";2020;"cropland";8305.1195337959
"-37p75.-10p25.BRA";2020;"cropland";63496.6677425756
"-37p75.-10p75.BRA";2020;"cropland";94226.1059872553
"-37p75.-11p25.BRA";2020;"cropland";43751.6179445047
"-37p75.-11p75.BRA";2020;"cropland";38886.0488479813
"-37p75.-12p25.BRA";2020;"cropland";5155.21513911974
"-37p75.-12p75.BRA";2020;"cropland";17.6939060190418
"-37p75.-4p25.BRA";2020;"cropland";10054.5001991412
"-37p75.-4p75.BRA";2020;"cropland";25808.4505830459
"-37p75.-5p25.BRA";2020;"cropland";23877.9043706974
"-37p75.-5p75.BRA";2020;"cropland";9859.03793398172
"-37p75.-6p25.BRA";2020;"cropland";8353.82118126259
"-37p75.-6p75.BRA";2020;"cropland";3249.77085669122
"-37p75.-7p25.BRA";2020;"cropland";10560.5202039035
"-37p75.-7p75.BRA";2020;"cropland";45434.6789954501
"-37p75.-8p25.BRA";2020;"cropland";15336.0109175616
"-37p75.-8p75.BRA";2020;"cropland";10868.4693551619
"-37p75.-9p25.BRA";2020;"cropland";15107.2321504139
"-37p75.-9p75.BRA";2020;"cropland";9556.54732493925
"-38p25.-10p25.BRA";2020;"cropland";37874.9308498482
"-38p25.-10p75.BRA";2020;"cropland";62991.1838565955
"-38p25.-11p25.BRA";2020;"cropland";43474.5407839741
"-38p25.-11p75.BRA";2020;"cropland";30725.908517767
"-38p25.-12p25.BRA";2020;"cropland";4392.68668862122
"-38p25.-12p75.BRA";2020;"cropland";1117.85793620637
"-38p25.-13p25.BRA";2020;"cropland";0.0418166871999141
"-38p25.-3p75.BRA";2020;"cropland";1862.05766912514
"-38p25.-4p25.BRA";2020;"cropland";59512.5194038933
"-38p25.-4p75.BRA";2020;"cropland";27939.4341812592
"-38p25.-5p25.BRA";2020;"cropland";17525.7255453532
"-38p25.-5p75.BRA";2020;"cropland";16022.1840332101
"-38p25.-6p25.BRA";2020;"cropland";15231.3070782064
"-38p25.-6p75.BRA";2020;"cropland";9061.05818580124
"-38p25.-7p25.BRA";2020;"cropland";11103.488535738
"-38p25.-7p75.BRA";2020;"cropland";18307.1911683513
"-38p25.-8p25.BRA";2020;"cropland";6382.51480377301
"-38p25.-8p75.BRA";2020;"cropland";7523.28332233752
"-38p25.-9p25.BRA";2020;"cropland";10815.6479684466
"-38p25.-9p75.BRA";2020;"cropland";14613.6408727907
"-38p75.-10p25.BRA";2020;"cropland";30305.8720082476
"-38p75.-10p75.BRA";2020;"cropland";31700.7831790303
"-38p75.-11p25.BRA";2020;"cropland";14634.9362268122
"-38p75.-11p75.BRA";2020;"cropland";23844.3973540129
"-38p75.-12p25.BRA";2020;"cropland";15029.4059815242
"-38p75.-12p75.BRA";2020;"cropland";6757.75182082224
"-38p75.-13p25.BRA";2020;"cropland";5294.13350282372
"-38p75.-13p75.BRA";2020;"cropland";2917.28782699453
