"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";2000;"cropland";0
"-29p25.-20p75.BRA";2000;"cropland";0
"-32p25.-3p75.BRA";2000;"cropland";0
"-34p75.-7p25.BRA";2000;"cropland";27495.6547604901
"-34p75.-7p75.BRA";2000;"cropland";28014.4418813136
"-34p75.-8p25.BRA";2000;"cropland";8958.91546128383
"-35p25.-5p25.BRA";2000;"cropland";11114.3243141447
"-35p25.-5p75.BRA";2000;"cropland";35402.6845008277
"-35p25.-6p25.BRA";2000;"cropland";64425.2876499459
"-35p25.-6p75.BRA";2000;"cropland";59259.7566029288
"-35p25.-7p25.BRA";2000;"cropland";98837.1266479021
"-35p25.-7p75.BRA";2000;"cropland";114212.852704818
"-35p25.-8p25.BRA";2000;"cropland";113994.388101307
"-35p25.-8p75.BRA";2000;"cropland";82175.9537863852
"-35p25.-9p25.BRA";2000;"cropland";24810.9639041335
"-35p75.-5p25.BRA";2000;"cropland";45715.8015578569
"-35p75.-5p75.BRA";2000;"cropland";27871.2498328593
"-35p75.-6p25.BRA";2000;"cropland";50753.7464596596
"-35p75.-6p75.BRA";2000;"cropland";74704.6943620942
"-35p75.-7p25.BRA";2000;"cropland";90685.5194537366
"-35p75.-7p75.BRA";2000;"cropland";40348.9864625724
"-35p75.-8p25.BRA";2000;"cropland";25438.7212922092
"-35p75.-8p75.BRA";2000;"cropland";78376.0112508453
"-35p75.-9p25.BRA";2000;"cropland";128352.921826048
"-35p75.-9p75.BRA";2000;"cropland";43291.1425702312
"-36p25.-10p25.BRA";2000;"cropland";62706.4433490136
"-36p25.-5p25.BRA";2000;"cropland";12382.1674812703
"-36p25.-5p75.BRA";2000;"cropland";10796.714623682
"-36p25.-6p25.BRA";2000;"cropland";38550.8924647874
"-36p25.-6p75.BRA";2000;"cropland";30831.9757291361
"-36p25.-7p25.BRA";2000;"cropland";22093.6193645801
"-36p25.-7p75.BRA";2000;"cropland";13344.9135112064
"-36p25.-8p25.BRA";2000;"cropland";17764.2300308784
"-36p25.-8p75.BRA";2000;"cropland";65877.1428154228
"-36p25.-9p25.BRA";2000;"cropland";64172.5472890383
"-36p25.-9p75.BRA";2000;"cropland";144137.91283408
"-36p75.-10p25.BRA";2000;"cropland";53332.3720886578
"-36p75.-10p75.BRA";2000;"cropland";23509.8728067511
"-36p75.-5p25.BRA";2000;"cropland";17132.5723950584
"-36p75.-5p75.BRA";2000;"cropland";5994.50160375439
"-36p75.-6p25.BRA";2000;"cropland";16552.2799904255
"-36p75.-6p75.BRA";2000;"cropland";6494.1458029964
"-36p75.-7p25.BRA";2000;"cropland";15630.0889198429
"-36p75.-7p75.BRA";2000;"cropland";9497.7831708925
"-36p75.-8p25.BRA";2000;"cropland";12294.7413346818
"-36p75.-8p75.BRA";2000;"cropland";43362.7507456402
"-36p75.-9p25.BRA";2000;"cropland";36842.787697659
"-36p75.-9p75.BRA";2000;"cropland";91100.0270510013
"-37p25.-10p25.BRA";2000;"cropland";27692.8717808536
"-37p25.-10p75.BRA";2000;"cropland";37657.5808115497
"-37p25.-11p25.BRA";2000;"cropland";21595.4136881736
"-37p25.-4p75.BRA";2000;"cropland";24810.4840627396
"-37p25.-5p25.BRA";2000;"cropland";32645.0305275638
"-37p25.-5p75.BRA";2000;"cropland";8327.63127575349
"-37p25.-6p25.BRA";2000;"cropland";3010.97718199846
"-37p25.-6p75.BRA";2000;"cropland";3709.95632432159
"-37p25.-7p25.BRA";2000;"cropland";32756.1242500309
"-37p25.-7p75.BRA";2000;"cropland";35388.1946988214
"-37p25.-8p25.BRA";2000;"cropland";10168.8059266381
"-37p25.-8p75.BRA";2000;"cropland";22056.9194870708
"-37p25.-9p25.BRA";2000;"cropland";27249.053791544
"-37p25.-9p75.BRA";2000;"cropland";40603.4878949814
"-37p75.-10p25.BRA";2000;"cropland";61833.196090072
"-37p75.-10p75.BRA";2000;"cropland";115643.48070089
"-37p75.-11p25.BRA";2000;"cropland";58065.4190897159
"-37p75.-11p75.BRA";2000;"cropland";50558.829146404
"-37p75.-12p25.BRA";2000;"cropland";4346.49517342689
"-37p75.-12p75.BRA";2000;"cropland";81.5109183162918
"-37p75.-4p25.BRA";2000;"cropland";8602.08480004805
"-37p75.-4p75.BRA";2000;"cropland";43406.1965977201
"-37p75.-5p25.BRA";2000;"cropland";34554.3567856332
"-37p75.-5p75.BRA";2000;"cropland";27284.3135972871
"-37p75.-6p25.BRA";2000;"cropland";17427.6977782265
"-37p75.-6p75.BRA";2000;"cropland";8174.86740089749
"-37p75.-7p25.BRA";2000;"cropland";20154.1368902155
"-37p75.-7p75.BRA";2000;"cropland";77122.3234906417
"-37p75.-8p25.BRA";2000;"cropland";17254.5224942822
"-37p75.-8p75.BRA";2000;"cropland";11464.785484065
"-37p75.-9p25.BRA";2000;"cropland";28584.086893943
"-37p75.-9p75.BRA";2000;"cropland";19715.877469342
"-38p25.-10p25.BRA";2000;"cropland";65678.9970727021
"-38p25.-10p75.BRA";2000;"cropland";125974.443942465
"-38p25.-11p25.BRA";2000;"cropland";31421.515396321
"-38p25.-11p75.BRA";2000;"cropland";24303.3894473242
"-38p25.-12p25.BRA";2000;"cropland";9647.65359653867
"-38p25.-12p75.BRA";2000;"cropland";5242.33223739648
"-38p25.-13p25.BRA";2000;"cropland";0.386804356599205
"-38p25.-3p75.BRA";2000;"cropland";4290.50757426541
"-38p25.-4p25.BRA";2000;"cropland";74927.786185576
"-38p25.-4p75.BRA";2000;"cropland";34449.7011192525
"-38p25.-5p25.BRA";2000;"cropland";30145.9644374599
"-38p25.-5p75.BRA";2000;"cropland";36517.6239668644
"-38p25.-6p25.BRA";2000;"cropland";26599.8411482898
"-38p25.-6p75.BRA";2000;"cropland";18027.7464822953
"-38p25.-7p25.BRA";2000;"cropland";41104.2685880502
"-38p25.-7p75.BRA";2000;"cropland";50585.4905791753
"-38p25.-8p25.BRA";2000;"cropland";17918.4668169034
"-38p25.-8p75.BRA";2000;"cropland";9520.282310839
"-38p25.-9p25.BRA";2000;"cropland";14895.5004049319
"-38p25.-9p75.BRA";2000;"cropland";20435.8730944821
"-38p75.-10p25.BRA";2000;"cropland";32920.5411682181
"-38p75.-10p75.BRA";2000;"cropland";60152.4460117411
"-38p75.-11p25.BRA";2000;"cropland";50812.2182064808
"-38p75.-11p75.BRA";2000;"cropland";25781.4285985997
"-38p75.-12p25.BRA";2000;"cropland";30531.4028211108
"-38p75.-12p75.BRA";2000;"cropland";25594.4625498314
"-38p75.-13p25.BRA";2000;"cropland";7892.14502732706
"-38p75.-13p75.BRA";2000;"cropland";6875.98590547341
"-38p75.-14p25.BRA";2000;"cropland";2203.55746510779
"-38p75.-15p25.BRA";2000;"cropland";1754.00260401314
"-38p75.-15p75.BRA";2000;"cropland";4083.86129688279
"-38p75.-16p25.BRA";2000;"cropland";658.950589096568
"-38p75.-3p75.BRA";2000;"cropland";26554.8798884669
