"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";1995;"cropland";0
"-29p25.-20p75.BRA";1995;"cropland";0
"-32p25.-3p75.BRA";1995;"cropland";0
"-34p75.-7p25.BRA";1995;"cropland";52609.7746200533
"-34p75.-7p75.BRA";1995;"cropland";43134.2457878629
"-34p75.-8p25.BRA";1995;"cropland";9527.56779430407
"-35p25.-5p25.BRA";1995;"cropland";14138.4031287179
"-35p25.-5p75.BRA";1995;"cropland";42534.1932988698
"-35p25.-6p25.BRA";1995;"cropland";84872.8783105019
"-35p25.-6p75.BRA";1995;"cropland";87956.1894849868
"-35p25.-7p25.BRA";1995;"cropland";118700.526518383
"-35p25.-7p75.BRA";1995;"cropland";155968.429528254
"-35p25.-8p25.BRA";1995;"cropland";154078.822529458
"-35p25.-8p75.BRA";1995;"cropland";97742.7483655026
"-35p25.-9p25.BRA";1995;"cropland";27887.1311447096
"-35p75.-5p25.BRA";1995;"cropland";47206.0737630577
"-35p75.-5p75.BRA";1995;"cropland";38907.5584174801
"-35p75.-6p25.BRA";1995;"cropland";92403.1890162735
"-35p75.-6p75.BRA";1995;"cropland";93050.5636353855
"-35p75.-7p25.BRA";1995;"cropland";106799.75699872
"-35p75.-7p75.BRA";1995;"cropland";71324.3257425996
"-35p75.-8p25.BRA";1995;"cropland";42543.656429373
"-35p75.-8p75.BRA";1995;"cropland";90303.5122415766
"-35p75.-9p25.BRA";1995;"cropland";113646.325298396
"-35p75.-9p75.BRA";1995;"cropland";32673.7779205044
"-36p25.-10p25.BRA";1995;"cropland";63304.3909398971
"-36p25.-5p25.BRA";1995;"cropland";12905.6323355472
"-36p25.-5p75.BRA";1995;"cropland";14604.1003038224
"-36p25.-6p25.BRA";1995;"cropland";54220.7996432935
"-36p25.-6p75.BRA";1995;"cropland";41857.1222731029
"-36p25.-7p25.BRA";1995;"cropland";29593.6422725921
"-36p25.-7p75.BRA";1995;"cropland";16949.357238855
"-36p25.-8p25.BRA";1995;"cropland";34787.8403763772
"-36p25.-8p75.BRA";1995;"cropland";79527.4461072435
"-36p25.-9p25.BRA";1995;"cropland";68639.3842265197
"-36p25.-9p75.BRA";1995;"cropland";145298.647640061
"-36p75.-10p25.BRA";1995;"cropland";53166.791269343
"-36p75.-10p75.BRA";1995;"cropland";24776.6502397278
"-36p75.-5p25.BRA";1995;"cropland";18501.3450297344
"-36p75.-5p75.BRA";1995;"cropland";10199.7809238317
"-36p75.-6p25.BRA";1995;"cropland";18118.146977824
"-36p75.-6p75.BRA";1995;"cropland";21172.3315959133
"-36p75.-7p25.BRA";1995;"cropland";40462.6382292362
"-36p75.-7p75.BRA";1995;"cropland";12648.5341046991
"-36p75.-8p25.BRA";1995;"cropland";25394.4799270698
"-36p75.-8p75.BRA";1995;"cropland";48994.4066684851
"-36p75.-9p25.BRA";1995;"cropland";55747.0883004516
"-36p75.-9p75.BRA";1995;"cropland";79188.0490582594
"-37p25.-10p25.BRA";1995;"cropland";40349.0550382418
"-37p25.-10p75.BRA";1995;"cropland";41515.2221620274
"-37p25.-11p25.BRA";1995;"cropland";23776.9653632347
"-37p25.-4p75.BRA";1995;"cropland";33908.5474402125
"-37p25.-5p25.BRA";1995;"cropland";40096.2110757516
"-37p25.-5p75.BRA";1995;"cropland";12628.9611238652
"-37p25.-6p25.BRA";1995;"cropland";7773.79923331554
"-37p25.-6p75.BRA";1995;"cropland";7592.75187260028
"-37p25.-7p25.BRA";1995;"cropland";48603.6153696618
"-37p25.-7p75.BRA";1995;"cropland";47698.7113185983
"-37p25.-8p25.BRA";1995;"cropland";19287.0940251536
"-37p25.-8p75.BRA";1995;"cropland";34741.8556728427
"-37p25.-9p25.BRA";1995;"cropland";89938.2125246663
"-37p25.-9p75.BRA";1995;"cropland";72969.1712417982
"-37p75.-10p25.BRA";1995;"cropland";51173.7447169509
"-37p75.-10p75.BRA";1995;"cropland";105033.769850438
"-37p75.-11p25.BRA";1995;"cropland";50359.2405535208
"-37p75.-11p75.BRA";1995;"cropland";47380.0732016881
"-37p75.-12p25.BRA";1995;"cropland";4103.42751701418
"-37p75.-12p75.BRA";1995;"cropland";76.3068283106913
"-37p75.-4p25.BRA";1995;"cropland";11414.2705729042
"-37p75.-4p75.BRA";1995;"cropland";58282.5013211072
"-37p75.-5p25.BRA";1995;"cropland";38388.2961239384
"-37p75.-5p75.BRA";1995;"cropland";37924.5969479557
"-37p75.-6p25.BRA";1995;"cropland";33043.878343885
"-37p75.-6p75.BRA";1995;"cropland";9922.83870359625
"-37p75.-7p25.BRA";1995;"cropland";33602.2808214917
"-37p75.-7p75.BRA";1995;"cropland";103423.003912976
"-37p75.-8p25.BRA";1995;"cropland";23111.1228179016
"-37p75.-8p75.BRA";1995;"cropland";16671.1035782992
"-37p75.-9p25.BRA";1995;"cropland";59503.4273424633
"-37p75.-9p75.BRA";1995;"cropland";45408.7740689593
"-38p25.-10p25.BRA";1995;"cropland";38133.7005338205
"-38p25.-10p75.BRA";1995;"cropland";93372.52318865
"-38p25.-11p25.BRA";1995;"cropland";19155.1870242508
"-38p25.-11p75.BRA";1995;"cropland";22013.1866082909
"-38p25.-12p25.BRA";1995;"cropland";9404.94183696649
"-38p25.-12p75.BRA";1995;"cropland";5764.44334614578
"-38p25.-13p25.BRA";1995;"cropland";1.3172256467973
"-38p25.-3p75.BRA";1995;"cropland";3705.21014496358
"-38p25.-4p25.BRA";1995;"cropland";70859.0779316173
"-38p25.-4p75.BRA";1995;"cropland";35280.415683897
"-38p25.-5p25.BRA";1995;"cropland";34968.739291885
"-38p25.-5p75.BRA";1995;"cropland";58815.2300952938
"-38p25.-6p25.BRA";1995;"cropland";35579.0198427738
"-38p25.-6p75.BRA";1995;"cropland";20262.6997819277
"-38p25.-7p25.BRA";1995;"cropland";38390.1046708879
"-38p25.-7p75.BRA";1995;"cropland";73157.35689563
"-38p25.-8p25.BRA";1995;"cropland";12158.7007262619
"-38p25.-8p75.BRA";1995;"cropland";10306.9548285149
"-38p25.-9p25.BRA";1995;"cropland";12982.9334917019
"-38p25.-9p75.BRA";1995;"cropland";11721.6656572481
"-38p75.-10p25.BRA";1995;"cropland";16837.4315706606
"-38p75.-10p75.BRA";1995;"cropland";42913.4620448857
"-38p75.-11p25.BRA";1995;"cropland";28107.1488405983
"-38p75.-11p75.BRA";1995;"cropland";26493.3874317814
"-38p75.-12p25.BRA";1995;"cropland";37095.4611523557
"-38p75.-12p75.BRA";1995;"cropland";22959.6334196019
"-38p75.-13p25.BRA";1995;"cropland";6219.75082238688
"-38p75.-13p75.BRA";1995;"cropland";3673.55875318282
